Event	ID	Name			Wwise Object Path	Notes
	277487121	playMainMusic			\Default Work Unit\Sounds\playMainMusic	
	1712852617	playFootstep			\Default Work Unit\Sounds\playFootstep	
	1717476791	playJump			\Default Work Unit\Sounds\playJump	
	1808398206	playTutorialMusic			\Default Work Unit\Sounds\playTutorialMusic	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10651075	FEETHmn_HighHeels Concrete-Run 04 Composite_AKB00M_Footstep	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\FEETHmn_HighHeels Concrete-Run 04 Composite_AKB00M_Footstep_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\FEETHmn_HighHeels Concrete-Run 04 Composite_AKB00M_Footstep		28214
	50913498	HornPt2	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\HornSlowPt2_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Main Music\MusicBaseLoop\HornPt2		7939128
	52756148	Jump 3	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\Jump 4_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jump\Jump 3		288160
	69265141	Jump 1	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\Jump 1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jump\Jump 1		288160
	141143672	HornPt1	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\HornFastPt1_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Main Music\MusicBaseLoop\HornPt1		8912992
	181063264	FEETHmn_HighHeels Concrete-Run 06 Composite_AKB00M_Footstep	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\FEETHmn_HighHeels Concrete-Run 06 Composite_AKB00M_Footstep_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\FEETHmn_HighHeels Concrete-Run 06 Composite_AKB00M_Footstep		29988
	232825661	MusicBaseLoop	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\MusicBaseLoop_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Main Music\MusicBaseLoop\MusicBaseLoop		24903776
	233726910	Jump 2	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\Jump 2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jump\Jump 2		288160
	305213566	FEETHmn_HighHeels Concrete-Run 05 Composite_AKB00M_Footstep	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\FEETHmn_HighHeels Concrete-Run 05 Composite_AKB00M_Footstep_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\FEETHmn_HighHeels Concrete-Run 05 Composite_AKB00M_Footstep		29856
	376451943	MusicIntro	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\MusicIntro_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Main Music\MusicIntro\MusicIntro		1572960
	481624042	FEETHmn_HighHeels Concrete-Run 01 Composite_AKB00M_Footstep	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\FEETHmn_HighHeels Concrete-Run 01 Composite_AKB00M_Footstep_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\FEETHmn_HighHeels Concrete-Run 01 Composite_AKB00M_Footstep		29578
	539017146	MusicTutorial	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\MusicTutorial_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Tutorial Music\MusicTutorial\MusicTutorial		5767264
	652457101	FEETHmn_HighHeels Concrete-Run 03 Composite_AKB00M_Footstep	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\FEETHmn_HighHeels Concrete-Run 03 Composite_AKB00M_Footstep_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\FEETHmn_HighHeels Concrete-Run 03 Composite_AKB00M_Footstep		27660
	654757637	HornPt2	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\HornFastPt2_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Main Music\MusicBaseLoop\HornPt2		7930776
	708222936	FEETHmn_HighHeels Concrete-Run 02 Composite_AKB00M_Footstep	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\FEETHmn_HighHeels Concrete-Run 02 Composite_AKB00M_Footstep_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\FEETHmn_HighHeels Concrete-Run 02 Composite_AKB00M_Footstep		30430
	880027887	HornPt1	Y:\Desktop\GitHub\InSacrosanct\InSacrosanct\InSacrosanct_WwiseProject\.cache\Windows\SFX\HornSlowPt1_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Main Music\MusicBaseLoop\HornPt1		8912992

